Component,Model,R@10,N@10,DR@10,DN@10,ARP@10,Time(s)
Baseline,Popular-7D,0.1036,0.1671,0.0183,0.0184,0.00086,0
Baseline,Popular,0.0198,0.0478,0.0142,0.0208,0.00224,3
Loss,Softmax,0.0909,0.1476,0.0332,0.0392,0.00020,50170
Loss,Sampled softmax,0.0958,0.1534,0.0392,0.0391,0.00019,35064
Loss,BCE,0.0911,0.1469,0.0311,0.0402,0.00022,22063
Loss,gBCE,0.0869,0.1370,0.0324,0.0390,0.00020,15784
Sampling,Uniform,0.0958,0.1534,0.0392,0.0391,0.00019,35064
Sampling,InBatch,0.0128,0.0152,0.0060,0.0067,0.00002,28101
Sampling,InBatchLogQ,0.0326,0.0500,0.0136,0.0150,0.00020,30653
Sampling,Mixed-0.4,0.0862,0.1309,0.0308,0.0347,0.00012,38460
Sampling,MixedLogQ-0.4,0.0854,0.1449,0.0296,0.0383,0.00082,31166
Objective,Shifted,0.0958,0.1534,0.0392,0.0391,0.00019,35064
Objective,MLM,0.0717,0.1220,0.0294,0.0365,0.00020,13422
Objective,AllAction,0.1137,0.1566,0.0174,0.0161,0.00015,79
Objective,DenseAllAction,0.0318,0.0747,0.0146,0.0204,0.00044,14192
Layers,SASRec,0.0958,0.1534,0.0392,0.0391,0.00019,35064
Layers,BERT4Rec,0.0717,0.1221,0.0294,0.0365,0.00020,13950
Similarity,Dot,0.0958,0.1534,0.0392,0.0391,0.00019,35064
Similarity,Cosine,0.0232,0.0504,0.0120,0.0162,0.00033,6998 